code_TD,iso3,fe,firm_count_rounded,inputs_rounded,distw,contig,comlang_off,control_of_corruption,gdp,rule_of_law,rpshare,exp_cost,intserv
5660,MAC,-6.323491,300,27,12.97625,0,0,0.4820891,18100000000,0.3512991,0.0191975,525,93.26732
5700,CHN,-3.779076,21500,12199,11.18343,0,0,-0.5941012,3490000000000,-0.4667617,0.2573206,390,0.6829124
5800,KOR,-5.133563,5600,2039,10.68286,0,0,0.5409656,1050000000000,1.008299,0.6240403,745,497.4896
5820,HKG,-5.668907,4700,191,12.63547,0,1,1.931882,212000000000,1.575738,0.1821498,525,241.314
5830,TWN,-4.648661,10500,1663,12.15588,0,0,0.5181225,393000000000,0.761536,0.2957397,747,167
5880,JPN,-5.071345,8000,11225,10.28619,0,0,1.214127,4360000000000,1.336388,0.8116856,859,399.2541
6021,AUS,-6.425561,2900,375,14.80203,0,1,2.047173,854000000000,1.747598,0.3936155,930,807.5314
6141,NZL,-6.855298,1200,75,12.7658,0,1,2.346097,135000000000,1.844071,0.4542162,725,828.4653
7290,EGY,-6.817008,300,39,10.45659,0,0,-0.6792552,130000000000,-0.1984135,0.3310041,714,0.86219
7910,ZAF,-6.546885,1100,567,14.41861,0,1,0.2223268,286000000000,0.1353184,0.1826682,1087,30.60678
